Date,Time,Sid,Value
2020-07-29,"14:33:42,677",A0,0
2020-07-29,"14:33:42,677",A1,0
2020-07-29,"14:33:42,677",A2,19
2020-07-29,"14:33:42,677",A3,0
2020-07-29,"14:33:42,678",A4,0
2020-07-29,"14:33:42,678",A0,0
2020-07-29,"14:33:42,678",A1,0
2020-07-29,"14:33:42,678",A2,18
2020-07-29,"14:33:42,678",A3,0
2020-07-29,"14:33:42,678",A4,0
2020-07-29,"14:33:42,678",A0,0
2020-07-29,"14:33:42,678",A0,0
2020-07-29,"14:33:42,678",A1,0
2020-07-29,"14:33:42,679",A2,15
2020-07-29,"14:33:42,679",A3,0
2020-07-29,"14:33:42,679",A4,0
2020-07-29,"14:33:42,679",A0,0
2020-07-29,"14:33:42,679",A1,0
2020-07-29,"14:33:42,679",A2,19
2020-07-29,"14:33:42,679",A3,0
2020-07-29,"14:33:42,679",A4,0
2020-07-29,"14:33:42,679",A0,0
2020-07-29,"14:33:42,679",A1,0
2020-07-29,"14:33:42,680",A2,18
2020-07-29,"14:33:42,680",A3,0
2020-07-29,"14:33:42,680",A4,0
2020-07-29,"14:33:42,680",A0,0
2020-07-29,"14:33:44,240",A1,0
2020-07-29,"14:33:44,249",A2,19
2020-07-29,"14:33:44,257",A3,0
2020-07-29,"14:33:44,265",A4,0
2020-07-29,"14:33:45,236",A0,0
2020-07-29,"14:33:45,244",A1,0
2020-07-29,"14:33:45,252",A2,18
2020-07-29,"14:33:45,260",A3,0
2020-07-29,"14:33:45,264",A4,0
2020-07-29,"14:33:46,239",A0,0
2020-07-29,"14:33:46,243",A1,0
2020-07-29,"14:33:46,251",A2,19
2020-07-29,"14:33:46,260",A3,1
2020-07-29,"14:33:46,268",A4,0
2020-07-29,"14:33:47,238",A0,0
2020-07-29,"14:33:47,247",A1,0
2020-07-29,"14:33:47,255",A2,19
2020-07-29,"14:33:47,263",A3,1
2020-07-29,"14:33:47,271",A4,2
2020-07-29,"14:33:48,242",A0,0
2020-07-29,"14:33:48,250",A1,0
2020-07-29,"14:33:48,258",A2,21
2020-07-29,"14:33:48,266",A3,0
2020-07-29,"14:33:48,271",A4,0
2020-07-29,"14:33:49,245",A0,10
2020-07-29,"14:33:49,254",A1,75
2020-07-29,"14:33:49,262",A2,42
2020-07-29,"14:33:49,270",A3,11
2020-07-29,"14:33:49,278",A4,7
2020-07-29,"14:33:50,245",A0,0
2020-07-29,"14:33:50,253",A1,0
2020-07-29,"14:33:50,261",A2,25
2020-07-29,"14:33:50,269",A3,1
2020-07-29,"14:33:50,278",A4,0
2020-07-29,"14:33:51,248",A0,0
2020-07-29,"14:33:51,256",A1,0
2020-07-29,"14:33:51,265",A2,23
2020-07-29,"14:33:51,273",A3,0
2020-07-29,"14:33:51,277",A4,0
2020-07-29,"14:33:52,252",A0,1
2020-07-29,"14:33:52,256",A1,1
2020-07-29,"14:33:52,264",A2,27
2020-07-29,"14:33:52,272",A3,1
2020-07-29,"14:33:52,280",A4,0
2020-07-29,"14:33:53,251",A0,9
2020-07-29,"14:33:53,259",A1,73
2020-07-29,"14:33:53,268",A2,25
2020-07-29,"14:33:53,276",A3,8
2020-07-29,"14:33:53,284",A4,7
